Make,Model,n,Model_is_base,Model_agg
ACURA,3.2 CL,1,1,
ACURA,3.2 CL 3.2L V 6 NA S,3,,3.2 CL
ACURA,3.2 TL,8,1,
ACURA,3.2 TL 3.2L V6 EFI,5,,3.2 TL
ACURA,3.2 TL 3.2L V6 FI DO,2,,3.2 TL
ACURA,MDX 4WD,3,1,
ACURA,MDX 4WD 3.5L V6 EFI,1,,MDX 4WD
ACURA,MDX 4WD 3.5L V6 SOHC,1,,MDX 4WD
ACURA,RSX,2,1,
ACURA,TL,3,1,
ACURA,TSX,4,1,
BUICK,CENTURY V6,81,1,
BUICK,CENTURY V6 3.1L V6 S,103,,CENTURY V6
BUICK,LACROSSE,97,1,
BUICK,LACROSSE 3.6L V6 SFI,3,,LACROSSE
BUICK,LACROSSE 3.8L V6 SFI,43,,LACROSSE
BUICK,LE SABRE,64,1,
BUICK,LE SABRE 3.8L V6 MFI,38,,LE SABRE
BUICK,LE SABRE 3.8L V6 MPI,3,,LE SABRE
BUICK,LE SABRE Unspecified,38,,LE SABRE
BUICK,LUCERNE V6,8,1,
BUICK,LUCERNE V6 3.8L V6 S,3,,LUCERNE V6
BUICK,PARK AVENUE,9,1,
BUICK,PARK AVENUE 3.8L V6,6,,PARK AVENUE
BUICK,RAINIER AWD V6,8,1,RAINIER
BUICK,RAINIER AWD V6 4.2L,4,,RAINIER
BUICK,RAINIER AWD V8,1,,RAINIER
BUICK,RAINIER RWD V6,7,,RAINIER
BUICK,RAINIER RWD V6 4.2L,3,,RAINIER
BUICK,RAINIER RWD V8,3,,RAINIER
BUICK,RAINIER RWD V8 5.3L,2,,RAINIER
BUICK,REGAL,21,1,
BUICK,REGAL 3.8L V6 MFI,13,,REGAL
BUICK,REGAL 3.8L V6 MFI SC,6,,REGAL
BUICK,REGAL 3.8L V6 SFI,2,,REGAL
BUICK,RENDEZVOUS AWD,29,,RENDEZVOUS
BUICK,RENDEZVOUS AWD 3.4L,5,,RENDEZVOUS
BUICK,RENDEZVOUS AWD 3.5L,1,,RENDEZVOUS
BUICK,RENDEZVOUS FWD,88,1,RENDEZVOUS
BUICK,RENDEZVOUS FWD 3.4L,13,,RENDEZVOUS
BUICK,RENDEZVOUS FWD 3.5L,3,,RENDEZVOUS
BUICK,TERRAZA FWD V6,11,1,TERRAZA
BUICK,TERRAZA FWD V6 3.5L,4,,TERRAZA
CADILLAC,CTS,17,1,
CADILLAC,CTS 3.2L V6 SFI,2,,CTS
CADILLAC,CTS 3.6L V6 SFI,3,,CTS
CADILLAC,ESCALADE 2WD,1,1,
CADILLAC,SRX AWD V6,4,1,SRX
CADILLAC,SRX AWD V6 3.6L V6 S,3,,SRX
CADILLAC,SRX AWD V8 4.6L V8 S,1,,SRX
CADILLAC,STS V6,2,1,
CHEVROLET,1500 SILVERADO PICKU,596,1,SILVERADO
CHEVROLET,1500HD SILVERADO PIC,8,,SILVERADO
CHEVROLET,2500 SILVERADO PICKU,2,,SILVERADO
CHEVROLET,2500HD SILVERADO PIC,10,,SILVERADO
CHEVROLET,AVALANCHE 1500 2WD V,110,1,AVALANCHE
CHEVROLET,AVALANCHE 1500 4WD V,14,,AVALANCHE
CHEVROLET,AVALANCHE 2500 2WD V,1,,AVALANCHE
CHEVROLET,AVEO,384,1,
CHEVROLET,AVEO 1.6L I-4 EFI DO,36,,AVEO
CHEVROLET,AVEO 1.6L I-4 MPI DO,36,,AVEO
CHEVROLET,AVEO 1.6L I4 DOHC,7,,AVEO
CHEVROLET,AVEO 1.6L I4 EFI,91,,AVEO
CHEVROLET,AVEO 1.6L I4 EFI / M,15,,AVEO
CHEVROLET,CAMARO V6,6,1,
CHEVROLET,CAMARO V6 3.8L V6 MF,8,,CAMARO V6
CHEVROLET,CAVALIER 4C,236,1,
CHEVROLET,CAVALIER 4C 2.2L I-4,17,,CAVALIER 4C
